Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
3.10984e+02 6.53333e-01 3.10984e+02 9.98889e-01 3.10984e+02 -1.70000e-01 3.10984e+02 2.36889e+00
3.11776e+02 7.90000e-01 3.11776e+02 9.85556e-01 3.11776e+02 -8.55556e-02 3.11776e+02 2.37333e+00
3.12569e+02 8.96667e-01 3.12569e+02 9.72222e-01 3.12569e+02 2.55556e-02 3.12569e+02 2.38000e+00
3.13361e+02 8.87778e-01 3.13361e+02 9.58889e-01 3.13361e+02 1.77778e-02 3.13361e+02 2.38222e+00
3.14154e+02 7.02222e-01 3.14154e+02 9.48889e-01 3.14154e+02 -2.12222e-01 3.14154e+02 2.38889e+00
3.14946e+02 6.26667e-01 3.14946e+02 9.40000e-01 3.14946e+02 -4.15556e-01 3.14946e+02 2.39000e+00
3.15738e+02 8.02222e-01 3.15738e+02 9.31111e-01 3.15738e+02 -2.00000e-01 3.15738e+02 2.38889e+00
3.16530e+02 1.02111e+00 3.16530e+02 9.23333e-01 3.16530e+02 1.15556e-01 3.16530e+02 2.38111e+00
3.17323e+02 9.56667e-01 3.17323e+02 9.15556e-01 3.17323e+02 -8.00000e-02 3.17323e+02 2.37222e+00
3.18115e+02 8.11111e-01 3.18115e+02 9.06667e-01 3.18115e+02 -2.54444e-01 3.18115e+02 2.36889e+00
3.18907e+02 8.93333e-01 3.18907e+02 8.96667e-01 3.18907e+02 -3.14444e-01 3.18907e+02 2.36000e+00
3.19698e+02 1.32556e+00 3.19698e+02 8.88889e-01 3.19698e+02 -7.77778e-03 3.19698e+02 2.35000e+00
3.20490e+02 1.23333e+00 3.20490e+02 8.82222e-01 3.20490e+02 -7.88889e-02 3.20490e+02 2.34000e+00
3.21282e+02 1.41333e+00 3.21282e+02 8.76667e-01 3.21282e+02 -6.00000e-02 3.21282e+02 2.33111e+00
3.22074e+02 1.27444e+00 3.22074e+02 8.66667e-01 3.22074e+02 -2.72222e-01 3.22074e+02 2.32444e+00
3.22865e+02 1.30889e+00 3.22865e+02 8.61111e-01 3.22865e+02 -2.73333e-01 3.22865e+02 2.31778e+00
3.23657e+02 1.60889e+00 3.23657e+02 8.55556e-01 3.23657e+02 -4.00000e-02 3.23657e+02 2.31000e+00
3.24448e+02 1.55333e+00 3.24448e+02 8.47778e-01 3.24448e+02 -1.44444e-02 3.24448e+02 2.30000e+00
3.25240e+02 1.49000e+00 3.25240e+02 8.41111e-01 3.25240e+02 -5.33333e-02 3.25240e+02 2.29000e+00
3.26031e+02 1.67222e+00 3.26031e+02 8.36667e-01 3.26031e+02 1.47778e-01 3.26031e+02 2.28000e+00
