x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
3.11776e+02 1.00000e-02 3.11776e+02 -6.44444e-02 3.11776e+02 1.42222e-01 3.11776e+02 1.85556e-01 3.11776e+02 4.88889e-02
3.12569e+02 7.11111e-02 3.12569e+02 6.22222e-02 3.12569e+02 2.37778e-01 3.12569e+02 2.58889e-01 3.12569e+02 8.77778e-02
3.13361e+02 1.66667e-01 3.13361e+02 1.96667e-01 3.13361e+02 3.53333e-01 3.13361e+02 3.90000e-01 3.13361e+02 1.80000e-01
3.14154e+02 1.03333e-01 3.14154e+02 1.77778e-01 3.14154e+02 2.93333e-01 3.14154e+02 3.64444e-01 3.14154e+02 2.08889e-01
3.14946e+02 1.57778e-01 3.14946e+02 2.00000e-01 3.14946e+02 4.32222e-01 3.14946e+02 4.98889e-01 3.14946e+02 3.47778e-01
3.15738e+02 8.11111e-02 3.15738e+02 1.08889e-01 3.15738e+02 2.64444e-01 3.15738e+02 4.41111e-01 3.15738e+02 3.05556e-01
3.16530e+02 6.66667e-03 3.16530e+02 2.55556e-01 3.16530e+02 2.56667e-01 3.16530e+02 4.30000e-01 3.16530e+02 3.86667e-01
3.17323e+02 -1.96667e-01 3.17323e+02 -1.66667e-02 3.17323e+02 -8.77778e-02 3.17323e+02 2.00000e-01 3.17323e+02 1.88889e-01
3.18115e+02 -2.47778e-01 3.18115e+02 -1.14444e-01 3.18115e+02 -1.34444e-01 3.18115e+02 1.45556e-01 3.18115e+02 1.13333e-01
3.18907e+02 -4.34444e-01 3.18907e+02 -2.43333e-01 3.18907e+02 -2.04444e-01 3.18907e+02 -2.33333e-02 3.18907e+02 2.11111e-02
3.19698e+02 -3.24444e-01 3.19698e+02 -1.41111e-01 3.19698e+02 -9.33333e-02 3.19698e+02 4.11111e-02 3.19698e+02 9.22222e-02
3.20490e+02 -1.83333e-01 3.20490e+02 -2.00000e-02 3.20490e+02 -6.00000e-02 3.20490e+02 1.31111e-01 3.20490e+02 2.21111e-01
3.21282e+02 -1.43333e-01 3.21282e+02 4.22222e-02 3.21282e+02 1.88889e-02 3.21282e+02 7.11111e-02 3.21282e+02 2.68889e-01
3.22074e+02 -1.75556e-01 3.22074e+02 -8.33333e-02 3.22074e+02 -5.55556e-03 3.22074e+02 -1.66667e-02 3.22074e+02 2.10000e-01
3.22865e+02 -2.27778e-01 3.22865e+02 -1.44444e-02 3.22865e+02 7.88889e-02 3.22865e+02 -4.00000e-02 3.22865e+02 2.38889e-01
