Wavelength Abs_008
8.02865e+02 -0.00000e+00
8.03608e+02 -0.00000e+00
8.04350e+02 -0.00000e+00
8.05092e+02 -0.00000e+00
8.05835e+02 -0.00000e+00
8.06577e+02 0.00000e+00
8.07319e+02 0.00000e+00
8.08061e+02 0.00000e+00
8.08803e+02 0.00000e+00
8.09545e+02 0.00000e+00
8.10287e+02 0.00000e+00
8.11028e+02 0.00000e+00
8.11770e+02 -0.00000e+00
8.12512e+02 -0.00000e+00
8.13253e+02 -0.00000e+00
8.13994e+02 0.00000e+00
8.14736e+02 0.00000e+00
8.15477e+02 -0.00000e+00
8.16218e+02 -0.00000e+00
8.16959e+02 -0.00000e+00
8.17700e+02 -0.00000e+00
8.18441e+02 -0.00000e+00
8.19181e+02 -0.00000e+00
8.19922e+02 -0.00000e+00
8.20663e+02 -0.00000e+00
8.21403e+02 -0.00000e+00
8.22144e+02 -0.00000e+00
8.22884e+02 -0.00000e+00
8.23624e+02 -0.00000e+00
8.24364e+02 0.00000e+00
8.25104e+02 0.00000e+00
8.25844e+02 0.00000e+00
8.26584e+02 0.00000e+00
8.27324e+02 0.00000e+00
8.28064e+02 0.00000e+00
8.28803e+02 0.00000e+00
8.29543e+02 0.00000e+00
8.30282e+02 0.00000e+00
8.31021e+02 1.00000e-02
8.31761e+02 1.00000e-02
8.32500e+02 1.00000e-02
8.33239e+02 1.00000e-02
8.33978e+02 1.00000e-02
8.34717e+02 1.00000e-02
8.35456e+02 1.00000e-02
8.36194e+02 1.00000e-02
8.36933e+02 1.00000e-02
8.37672e+02 1.00000e-02
8.38410e+02 1.00000e-02
8.39148e+02 0.00000e+00
8.39887e+02 0.00000e+00
8.40625e+02 0.00000e+00
8.41363e+02 0.00000e+00
8.42101e+02 0.00000e+00
8.42839e+02 0.00000e+00
8.43577e+02 0.00000e+00
8.44315e+02 0.00000e+00
8.45052e+02 0.00000e+00
8.45790e+02 0.00000e+00
8.46527e+02 0.00000e+00
8.47265e+02 0.00000e+00
8.48002e+02 0.00000e+00
8.48739e+02 0.00000e+00
8.49476e+02 0.00000e+00
8.50213e+02 0.00000e+00
8.50950e+02 0.00000e+00
8.51687e+02 0.00000e+00
8.52424e+02 0.00000e+00
8.53161e+02 0.00000e+00
8.53897e+02 0.00000e+00
8.54634e+02 0.00000e+00
8.55370e+02 0.00000e+00
8.56106e+02 0.00000e+00
8.56843e+02 0.00000e+00
8.57579e+02 0.00000e+00
8.58315e+02 0.00000e+00
8.59051e+02 0.00000e+00
8.59787e+02 0.00000e+00
8.60523e+02 0.00000e+00
8.61258e+02 -0.00000e+00
8.61994e+02 -0.00000e+00
8.62729e+02 -0.00000e+00
8.63465e+02 0.00000e+00
8.64200e+02 0.00000e+00
8.64936e+02 0.00000e+00
8.65671e+02 0.00000e+00
