CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
2.11800003e+01 6.35299988e+01 9.53000031e+01 0.00000000e+00 4.49029999e+02 1.90000000e+01 4.95000005e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 4.50000000e+00 7.99999982e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 4.50000000e+00
2.53099995e+01 7.59300003e+01 7.59300003e+01 2.82999992e+00 4.60690002e+02 2.05699997e+01 6.57999992e-01 2.99999993e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 9.00000036e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e+00
3.14300003e+01 9.42900009e+01 4.71500015e+01 7.13999987e+00 4.52470001e+02 2.08299999e+01 4.28999990e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 1.50000000e+00 1.19999997e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 1.50000000e+00
2.02399998e+01 6.07099991e+01 6.74300003e+01 8.91399994e+01 4.80209991e+02 4.97900009e+01 2.10999995e-01 1.40000001e-01 2.37520004e+02 1.22879997e+02 3.32999992e+00 5.99999987e-02 2.70000000e+02 1.08000000e+02 1.40000000e-01 3.00000000e+00
1.94099998e+01 5.82299995e+01 5.58300018e+01 9.41999969e+01 4.30209991e+02 1.60200005e+01 1.04000002e-01 1.50000006e-01 2.27669998e+02 1.28199997e+02 2.88000011e+00 5.99999987e-02 2.70000000e+02 1.08000000e+02 1.40000000e-01 3.00000000e+00
3.89599991e+01 1.16900002e+02 1.16899996e+01 1.24700003e+01 5.07309998e+02 2.12700005e+01 7.88999975e-01 2.99999993e-02 1.80020004e+02 1.62130005e+02 3.00000012e-01 1.40000001e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e-01
2.11800003e+01 6.35299988e+01 9.53000031e+01 0.00000000e+00 4.44179993e+02 1.83500004e+01 5.89999974e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 4.50000000e+00 7.99999982e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 4.50000000e+00
3.89599991e+01 1.16900002e+02 0.00000000e+00 0.00000000e+00 5.15409973e+02 2.20200005e+01 5.63000023e-01 0.00000000e+00 1.55860001e+02 1.87259995e+02 0.00000000e+00 1.70000002e-01 1.80000000e+02 1.62000000e+02 0.00000000e+00 0.00000000e+00
2.11800003e+01 6.35299988e+01 0.00000000e+00 0.00000000e+00 5.17940002e+02 2.12399998e+01 5.32999992e-01 0.00000000e+00 8.47099991e+01 3.44540009e+02 0.00000000e+00 1.70000002e-01 9.00000000e+01 3.24000000e+02 0.00000000e+00 0.00000000e+00
4.23499985e+01 1.27099998e+02 1.90600006e+02 0.00000000e+00 4.56299988e+02 1.95799999e+01 5.55000007e-01 2.99999993e-02 3.60049988e+02 8.10599976e+01 4.50000000e+00 7.99999982e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 4.50000000e+00
5.06199989e+01 1.51899994e+02 1.51899994e+02 5.65999985e+00 4.59369995e+02 2.22299995e+01 5.01999974e-01 2.99999993e-02 3.60079987e+02 8.10599976e+01 3.00000000e+00 9.00000036e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 3.00000000e+00
6.28600006e+01 1.88600006e+02 9.42900009e+01 1.42700005e+01 4.79959991e+02 2.20799999e+01 5.80999970e-01 2.99999993e-02 3.60019989e+02 8.10699997e+01 1.50000000e+00 1.19999997e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 1.50000000e+00
7.15000000e+01 2.14500000e+02 5.36300011e+01 2.03799992e+01 4.96100006e+02 2.12999992e+01 7.34000027e-01 2.99999993e-02 3.60010010e+02 8.10699997e+01 7.50000000e-01 1.29999995e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 7.50000000e-01
7.79300003e+01 2.33800003e+02 2.33799992e+01 2.48999996e+01 5.07190002e+02 2.15000000e+01 4.76000011e-01 2.99999993e-02 3.60010010e+02 8.10699997e+01 3.00000012e-01 1.40000001e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 3.00000000e-01
4.23499985e+01 1.27099998e+02 1.90600006e+02 0.00000000e+00 4.48649994e+02 1.86299992e+01 4.16999996e-01 2.99999993e-02 3.60049988e+02 8.10599976e+01 4.50000000e+00 7.99999982e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 4.50000000e+00
5.06199989e+01 1.51899994e+02 1.51899994e+02 5.65999985e+00 4.56540009e+02 2.01599998e+01 4.58000004e-01 2.99999993e-02 3.60079987e+02 8.10599976e+01 3.00000000e+00 9.00000036e-02 3.60000000e+02 8.10000000e+01 3.00000000e-02 3.00000000e+00
6.28600006e+01 1.88600006e+02 9.42900009e+01 1.42700005e+01 4.84290009e+02 2.12299995e+01 6.03999972e-01 2.99999993e-02 3.60019989e+02 8.10699997e+01 1.50000000e+00 1.19999997e-01 3.60000000e+02 8.10000000e+01 3.00000000e-02 1.50000000e+00
